순번	앨범	앨범키	제목	멜론	지니	벅스	바이브	flo	곡 길이					
0	The Day	the-day	Free하게	7844372	84964151	4551004	5701352	4551004	0:03:07					
1	The Day	the-day	이상하게 계속 이래	7844373	84964152	4551005	5701356	4551005	0:03:11					
2	The Day	the-day	Congratulations	7844374	84964153	4551006	5701361	4551006	0:03:49					
3	The Day	the-day	버릇이 됐어	7844375	84964154	4551007	5701347	4551007	0:03:26					
4	The Day	the-day	태양처럼	7844376	84964155	4551008	5701349	4551008	0:03:38					
5	The Day	the-day	Colors	7844377	84964156	4551009	5701354	4551009	0:04:17					
6	DAYDREAM	daydream	First Time	8120282	86089284	30203510	6049320	30203510	0:03:19					
7	DAYDREAM	daydream	Blood	8120283	86089285	30203511	6049321	30203511	0:03:28					
8	DAYDREAM	daydream	놓아 놓아 놓아	8120284	86112660	30203512	6049322	30203512	0:03:50					
9	DAYDREAM	daydream	Sing Me	8120285	86112661	30203513	6049323	30203513	0:03:33					
10	DAYDREAM	daydream	바래	8120286	86112662	30203514	6049324	30203514	0:04:04					
11	DAYDREAM	daydream	Hunt	8120287	86112663	30203515	6049325	30203515	0:03:26					
12	SUNRISE	january	아 왜 (I wait)	30189029	86866728	30511020	16035922	30511020	0:03:38					
13	SUNRISE	january	겨울이 간다	30189030	86866729	30511021	16035923	30511021	0:03:07					
14	SUNRISE	february	예뻤어	30232719	86931930	30540153	16081363	30540153	0:04:43					
15	SUNRISE	february	My Day	30233080	86931931	30540154	16081364	30540154	0:03:00					
16	SUNRISE	march	어떻게 말해	30284609	86990352	30573080	16473414	30573080	0:03:21					
17	SUNRISE	march	그럴 텐데	30285386	86990353	30573081	16473415	30573081	0:03:43					
18	SUNRISE	april	장난 아닌데	30345502	87064418	30612023	17409146	30612023	0:03:14					
19	SUNRISE	april	Say Wow	30345503	87064419	30612024	17409156	30612024	0:03:09					
20	SUNRISE	may	DANCE DANCE	30399493	87121533	30646154	17735999	30646154	0:03:43					
21	SUNRISE	may	Man in a Movie	30399494	87121534	30646155	17736000	30646155	0:03:46					
22	SUNRISE	sunrise	오늘은 내게	30457471	87185618	30677527	17836612	30677527	0:03:29					
23	SUNRISE	sunrise	반드시 웃는다	30457472	87185619	30677528	17836615	30677528	0:03:47					
24	SUNRISE	sunrise	놓아 놓아 놓아 (Rebooted Ver.)	30457476	87185623	30677532	17836617	30677532	0:04:11					
25	SUNRISE	sunrise	Congratulations (Final Ver.)	30457484	87185631	30677540	17836625	30677540	0:03:47					
26	MOONRISE	july	Hi Hello	30507915	87264764	30708337	18419728	30708337	0:03:52					
27	MOONRISE	july	Be Lazy	30508688	87264765	30708338	18419729	30708338	0:03:14					
28	MOONRISE	august	좋은걸 뭐 어떡해	30566474	87359516	30742600	18676775	30742600	0:03:52					
29	MOONRISE	august	놀래!	30566475	87359517	30742601	18676777	30742601	0:03:16					
30	MOONRISE	september	I Loved You	30617942	87415867	30772387	18939330	30772387	0:03:54					
31	MOONRISE	september	남겨둘게	30617943	87415868	30772388	18939331	30772388	0:03:54					
32	MOONRISE	october	그렇더라고요	30658626	87463141	30800908	19183554	30800908	0:03:46					
33	MOONRISE	october	누군가 필요해	30658627	87463142	30800909	19183552	30800909	0:03:38					
34	MOONRISE	november	혼자야	30711862	87527108	30833861	19738258	30833861	0:03:44					
35	MOONRISE	november	쏟아진다	30711863	87527109	30833862	19738184	30833862	0:04:05					
36	MOONRISE	moonrise	Better Better	30771999	87591822	30872542	20121086	30872542	0:03:44					
37	MOONRISE	moonrise	좋아합니다	30772000	87591823	30872543	20121084	30872543	0:03:57					
38	MOONRISE	moonrise	노력해볼게요	30772011	87591834	30872554	20121097	30872554	0:03:41					
39	Shoot Me	shoot-me	WARNING!	31149436	88072513	31120686	21408918	31120686	0:03:25					
40	Shoot Me	shoot-me	Shoot Me	31149437	88072514	31120687	21408915	31120687	0:02:55					
41	Shoot Me	shoot-me	어쩌다 보니	31149438	88072515	31120688	21408920	31120688	0:03:22					
42	Shoot Me	shoot-me	Feeling Good	31149439	88072516	31120689	21408916	31120689	0:03:25					
43	Shoot Me	shoot-me	혼잣말	31149440	88072517	31120690	21408919	31120690	0:03:32					
44	Shoot Me	shoot-me	원하니까	31149441	88072518	31120691	21408917	31120691	0:04:11					
45	Beautiful Feeling	beautiful-feeling	Beautiful Feeling	31295149	88233287	31225862	21712039	31225862	0:03:28					
46	Chocolate	chocolate	Chocolate	31412373	88362467	31304162	22531444	31304162	0:03:16					
47	너는 지금쯤	doing-now	너는 지금쯤	31431163	88389337	31318643	22886295	31318643	0:03:55					
48	Remember Us	remember-us	아픈 길	31481699	88455412	31360121	23177550	31360121	0:04:09					
49	Remember Us	remember-us	행복했던 날들이었다	31481700	88455413	31360122	23177552	31360122	0:03:25					
50	Remember Us	remember-us	두통	31481701	88455414	31360123	23177555	31360123	0:02:57					
51	Remember Us	remember-us	121U	31481702	88455415	31360124	23177558	31360124	0:03:14					
52	Remember Us	remember-us	완전 멋지잖아	31481703	88455416	31360125	23177561	31360125	0:03:05					
53	Remember Us	remember-us	마라톤	31481704	88455417	31360126	23177562	31360126	0:03:40					
54	Gravity	gravity	For me	31927274	89220626	31650948	27852477	427164275	0:03:28					
55	Gravity	gravity	한 페이지가 될 수 있게	31927275	89220627	31650949	27852478	427164276	0:03:26					
56	Gravity	gravity	How to love	31927276	89220628	31650950	27852479	427164277	0:03:24					
57	Gravity	gravity	돌아갈래요	31927277	89220629	31650951	27852481	427164278	0:03:36					
58	Gravity	gravity	포장	31927278	89220630	31650952	27852480	427164279	0:03:26					
59	Gravity	gravity	Best Part	31927279	89220631	31650953	27852482	427164280	0:03:41					
60	Entropy	entropy	Deep in love	32115575	89472159	31728992	30184802	431985999	0:03:47					
61	Entropy	entropy	Sweet Chaos	32115576	89472160	31728993	30165478	431986000	0:03:47					
